Team,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Arsenal,4,4,3,4,3,4,3,4,4,3,2,5,6,5,8,8
Aston Villa,16,11,6,6,6,9,16,15,15,17,20,21,21,21,17,11
Birmingham,18,21,19,21,9,18,21,21,21,21,21,21,21,21,21,21
Blackburn,6,10,7,15,10,15,19,21,21,21,21,21,21,21,21,21
Blackpool,21,21,21,21,21,19,21,21,21,21,21,21,21,21,21,21
Bolton,8,7,16,13,14,14,18,21,21,21,21,21,21,21,21,21
Bournemouth,21,21,21,21,21,21,21,21,21,21,16,9,12,14,18,21
Brentford,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Brighton,21,21,21,21,21,21,21,21,21,21,21,21,15,17,15,16
Burnley,21,21,21,21,18,21,21,21,21,19,21,16,7,15,10,17
Cardiff,21,21,21,21,21,21,21,21,20,21,21,21,21,18,21,21
Charlton,13,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Chelsea,1,2,2,3,1,2,6,3,3,1,10,1,5,3,4,4
Crystal Palace,21,21,21,21,21,21,21,21,11,10,15,14,11,12,14,14
Derby,21,21,20,21,21,21,21,21,21,21,21,21,21,21,21,21
Everton,11,6,5,5,8,7,7,6,5,11,11,7,8,8,12,10
Fulham,12,21,17,7,12,8,9,12,19,21,21,21,21,19,21,18
Huddersfield,21,21,21,21,21,21,21,21,21,21,21,21,16,20,21,21
Hull,21,21,21,17,19,21,21,21,16,18,21,18,21,21,21,21
Leeds,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,9
Leicester,21,21,21,21,21,21,21,21,21,14,1,12,9,9,5,5
Liverpool,3,3,4,2,7,6,8,7,2,6,8,4,4,2,1,3
Man City,15,14,9,10,5,3,1,2,1,2,4,3,1,1,2,1
Man United,2,1,1,1,2,1,2,1,7,4,5,6,2,6,3,2
Middlesbrough,14,12,13,19,21,21,21,21,21,21,21,19,21,21,21,21
Newcastle,7,13,12,18,21,12,5,16,10,15,18,21,10,13,13,12
Norwich,21,21,21,21,21,21,12,11,18,21,19,21,21,21,20,21
Portsmouth,17,9,8,14,20,21,21,21,21,21,21,21,21,21,21,21
QPR,21,21,21,21,21,21,17,20,21,21,21,21,21,21,21,21
Reading,21,8,18,21,21,21,21,19,21,20,21,21,21,21,21,21
Sheffield United,21,18,21,21,21,21,21,21,21,21,21,21,21,21,9,20
Southampton,21,21,21,21,21,21,21,14,8,7,6,8,17,16,11,15
Stoke,21,21,21,12,11,13,14,13,9,9,9,13,19,21,21,21
Sunderland,20,21,15,16,13,10,13,17,14,16,17,20,21,21,21,21
Swansea,21,21,21,21,21,21,11,9,12,8,12,15,18,21,21,21
Tottenham,5,5,11,8,4,5,4,5,6,5,3,2,3,4,6,7
Watford,21,20,21,21,21,21,21,21,21,21,13,17,14,11,19,21
West Brom,19,21,21,20,21,11,10,8,17,13,14,10,20,21,21,19
West Ham,9,15,10,9,17,20,21,10,13,12,7,11,13,10,16,6
Wigan,10,21,14,11,16,16,15,18,21,21,21,21,21,21,21,21
Wolves,21,21,21,21,15,17,20,21,21,21,21,21,21,7,7,13
